Entity,Code,Year,Renewables per capita (kWh)
Bangladesh,BGD,1982,0.017309
Bangladesh,BGD,1983,0.021347
Bangladesh,BGD,1984,0.028181
Bangladesh,BGD,1985,0.022617
Bangladesh,BGD,1986,0.013414
Bangladesh,BGD,1987,0.015011
Bangladesh,BGD,1988,0.019096000000000002
Bangladesh,BGD,1989,0.025379000000000002
Bangladesh,BGD,1990,0.023801
Bangladesh,BGD,1991,0.022044
Bangladesh,BGD,1992,0.020476
Bangladesh,BGD,1993,0.015305000000000001
Bangladesh,BGD,1994,0.020869
Bangladesh,BGD,1995,0.008971999999999999
Bangladesh,BGD,1996,0.017448
Bangladesh,BGD,1997,0.016621
Bangladesh,BGD,1998,0.019585
Bangladesh,BGD,1999,0.018483
Bangladesh,BGD,2000,0.016298
Bangladesh,BGD,2001,0.021065999999999998
Bangladesh,BGD,2002,0.015504
Bangladesh,BGD,2003,0.015157
Bangladesh,BGD,2004,0.014839000000000001
Bangladesh,BGD,2005,0.014556
Bangladesh,BGD,2006,0.01434
Bangladesh,BGD,2007,0.014143000000000001
Bangladesh,BGD,2008,0.017709
Bangladesh,BGD,2009,0.008058
Bangladesh,BGD,2010,0.013788
Bangladesh,BGD,2011,0.016293
Bangladesh,BGD,2012,0.014959
Bangladesh,BGD,2013,0.014548
Bangladesh,BGD,2014,0.012262
Bangladesh,BGD,2015,0.01795
Bangladesh,BGD,2016,0.017671
Bangladesh,BGD,2017,0.020613
Bangladesh,BGD,2018,0.018112
Bangladesh,BGD,2019,0.019083
Belarus,BLR,1985,0.005611
Belarus,BLR,1986,0.005575
Belarus,BLR,1987,0.005541000000000001
Belarus,BLR,1988,0.005511
Belarus,BLR,1989,0.005488000000000001
Belarus,BLR,1990,0.005473
Belarus,BLR,1991,0.004921
Belarus,BLR,1992,0.004651
Belarus,BLR,1993,0.005207
Belarus,BLR,1994,0.005221
Belarus,BLR,1995,0.005513
Belarus,BLR,1996,0.004425
Belarus,BLR,1997,0.005828000000000001
Belarus,BLR,1998,0.007801000000000001
Belarus,BLR,1999,0.005318
Belarus,BLR,2000,0.0075970000000000005
Belarus,BLR,2001,0.008439
Belarus,BLR,2002,0.008159000000000001
Belarus,BLR,2003,0.007881
Belarus,BLR,2004,0.009573
Belarus,BLR,2005,0.010407999999999999
Belarus,BLR,2006,0.010673
Belarus,BLR,2007,0.014008
Belarus,BLR,2008,0.020385
Belarus,BLR,2009,0.029480000000000003
Belarus,BLR,2010,0.035979
Belarus,BLR,2011,0.038810000000000004
Belarus,BLR,2012,0.04731900000000001
Belarus,BLR,2013,0.06205
Belarus,BLR,2014,0.056930999999999995
Belarus,BLR,2015,0.067807
Belarus,BLR,2016,0.089187
Belarus,BLR,2017,0.184392
Belarus,BLR,2018,0.170898
Belarus,BLR,2019,0.173958
Belgium,BEL,1965,0.080004
Belgium,BEL,1966,0.08752800000000001
Belgium,BEL,1967,0.06937900000000001
Belgium,BEL,1968,0.070853
Belgium,BEL,1969,0.066551
Belgium,BEL,1970,0.07094400000000001
Belgium,BEL,1971,0.038520000000000006
Belgium,BEL,1972,0.051584000000000005
Belgium,BEL,1973,0.08201000000000001
Belgium,BEL,1974,0.099176
Belgium,BEL,1975,0.075613
Belgium,BEL,1976,0.047076
Belgium,BEL,1977,0.133272
Belgium,BEL,1978,0.13638999999999998
Belgium,BEL,1979,0.15475999999999998
Belgium,BEL,1980,0.16268700000000003
Belgium,BEL,1981,0.188915
Belgium,BEL,1982,0.106449
Belgium,BEL,1983,0.100469
Belgium,BEL,1984,0.105155
Belgium,BEL,1985,0.095235
Belgium,BEL,1986,0.129251
Belgium,BEL,1987,0.161213
Belgium,BEL,1988,0.15256999999999998
Belgium,BEL,1989,0.14000200000000002
Belgium,BEL,1990,0.154059
Belgium,BEL,1991,0.148311
Belgium,BEL,1992,0.170063
Belgium,BEL,1993,0.139177
Belgium,BEL,1994,0.164107
Belgium,BEL,1995,0.182167
Belgium,BEL,1996,0.152658
Belgium,BEL,1997,0.159755
Belgium,BEL,1998,0.205952
Belgium,BEL,1999,0.23024
Belgium,BEL,2000,0.28204700000000005
Belgium,BEL,2001,0.287501
Belgium,BEL,2002,0.301044
Belgium,BEL,2003,0.311684
Belgium,BEL,2004,0.386679
Belgium,BEL,2005,0.5371079999999999
Belgium,BEL,2006,0.743062
Belgium,BEL,2007,0.865554
Belgium,BEL,2008,1.0819590000000001
Belgium,BEL,2009,1.455479
Belgium,BEL,2010,1.929311
Belgium,BEL,2011,2.345488
Belgium,BEL,2012,2.7976199999999998
Belgium,BEL,2013,3.040626
Belgium,BEL,2014,3.212805
Belgium,BEL,2015,3.520278
Belgium,BEL,2016,3.6263460000000003
Belgium,BEL,2017,3.9564380000000003
Belgium,BEL,2018,4.188777
Belgium,BEL,2019,4.530155
Brazil,BRA,1965,0.850086
Brazil,BRA,1966,0.904544
Brazil,BRA,1967,0.9209940000000001
Brazil,BRA,1968,0.9388650000000001
Brazil,BRA,1969,0.9791280000000001
Brazil,BRA,1970,1.177422
